UPC,BRAND,ITEM,product_form,flavour,size,merged_from_docs,merge_items,merge_rule,llm_confidence_min
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,3,GLICO PETIT Q BISCUIT 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
45183591,PETIT Q,GLICO PETIT Q BISCUIT 30G,BISCUIT,ORIGINAL,30G,4,GLICO PETIT Q BISCUIT 30G | GLICO CAPLICO ATAMA 30G | GLICO PRETZ ORIGINAL FLAVOUR 31G,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
8851019210124,POCKY,GLICO POCKY 45GM X1 STRAWBERRY,STICK,STRAWBERRY,45G,4,GLICO POCKY 45GM X1 STRAWBERRY | GLICO POCKY STICK STRAWBERRY 50GM | GLICO TSUBU TSUBU ICHIGO POCKY (HEARTFUL) 53GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
5410126116168,LOTTE,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM,BISCUIT,ORIGINAL,156G,3,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM | LOTUS BISCOFF ORI CARAMELISED 156GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
5410126116168,LOTTE,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM,BISCUIT,ORIGINAL,156G,3,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM | LOTUS BISCOFF ORI CARAMELISED 156GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
5410126116168,LOTTE,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM,BISCUIT,ORIGINAL,156G,3,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM | LOTUS BISCOFF ORI CARAMELISED 156GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
5410126116168,LOTTE,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM,BISCUIT,ORIGINAL,156G,3,LOTUS BISCOFF ORIGINAL CARAMELISED 156GM | LOTUS BISCOFF ORI CARAMELISED 156GM,UPC + Market + MPack + Facts | BRAND+FLAVOUR+SIZE (LLM) + STRICT KEYS,1.0
